user,__expected,__metadata:stooq_symbol,__metadata:currency,__metadata:company
"What is the latest stock price for Arm Holdings on the US stock exchange?","python:file://assertions/assert_stock_price.py","arm.us","USD","Arm Holdings"
"What is the latest stock price for HSBC Holdings on the UK stock exchange?","python:file://assertions/assert_stock_price.py","hsba.uk","GBp","HSBC Holdings"
"What is the latest stock price for AstraZeneca on the UK stock exchange?","python:file://assertions/assert_stock_price.py","azn.uk","GBp","AstraZeneca"
"What is the latest stock price for Linde on the US stock exchange?","python:file://assertions/assert_stock_price.py","lin.us","USD","Linde"
"What is the latest stock price for Shell on the UK stock exchange?","python:file://assertions/assert_stock_price.py","shel.uk","GBp","Shell"
"What is the latest stock price for Tencent Holdings on the Hong Kong stock exchange?","python:file://assertions/assert_stock_price.py","700.hk","HKD","Tencent Holdings"
"What is the latest stock price for China Mobile on the Hong Kong stock exchange?","python:file://assertions/assert_stock_price.py","941.hk","HKD","China Mobile"
"What is the latest stock price for HSBC Holdings on the Hong Kong stock exchange?","python:file://assertions/assert_stock_price.py","5.hk","HKD","HSBC Holdings"
"What is the latest stock price for China Construction Bank on the Hong Kong stock exchange?","python:file://assertions/assert_stock_price.py","939.hk","HKD","China Construction Bank"
"What is the latest stock price for AIA Group on the Hong Kong stock exchange?","python:file://assertions/assert_stock_price.py","1299.hk","HKD","AIA Group"
"What is the latest stock price for Toyota Motor Corporation on the Japanese stock exchange?","python:file://assertions/assert_stock_price.py","7203.jp","JPY","Toyota Motor Corporation"
"What is the latest stock price for Mitsubishi UFJ Financial Group on the Japanese stock exchange?","python:file://assertions/assert_stock_price.py","8306.jp","JPY","Mitsubishi UFJ Financial Group"
"What is the latest stock price for SoftBank Group on the Japanese stock exchange?","python:file://assertions/assert_stock_price.py","9984.jp","JPY","SoftBank Group"
"What is the latest stock price for Hitachi Ltd. on the Japanese stock exchange?","python:file://assertions/assert_stock_price.py","6501.jp","JPY","Hitachi Ltd."
"What is the latest stock price for Sony Group Corporation on the Japanese stock exchange?","python:file://assertions/assert_stock_price.py","6758.jp","JPY","Sony Group Corporation"
"What is the latest stock price for ASML Holding on the Dutch stock exchange?","python:file://assertions/assert_stock_price.py","asml.nl","EUR","ASML Holding"
"What is the latest stock price for LVMH Moët Hennessy Louis Vuitton on the French stock exchange?","python:file://assertions/assert_stock_price.py","mc.fr","EUR","LVMH Moët Hennessy Louis Vuitton"
"What is the latest stock price for TotalEnergies on the French stock exchange?","python:file://assertions/assert_stock_price.py","tte.fr","EUR","TotalEnergies"
"What is the latest stock price for SAP on the German stock exchange?","python:file://assertions/assert_stock_price.py","sap.de","EUR","SAP"
"What is the latest stock price for Siemens on the German stock exchange?","python:file://assertions/assert_stock_price.py","sie.de","EUR","Siemens"
