question,answer
"What software company is headquartered in Redmond, Washington?", "Microsoft"
"What is a word, phrase, number, or other sequence of characters that reads the same backward as forward?", "Palindrome"
"What is the world’s largest retailer as of 2026?", "Walmart"
"Which day of the week does the Jewish Sabbath begin?", "Friday"
"What phone company produced the 3310?", "Nokia"
"What company was initially known as "Blue Ribbon Sports"?", "Nike"
"Which country has the highest life expectancy as of 2026?", "Monaco"
"What is the most common surname in the United States?", "Smith"
"What art form is described as "decorative handwriting or handwritten lettering"?", "Calligraphy"
"What is acrophobia a fear of?", "Heights"
"What is the name of the Chinese philosophical system that emphasizes harmony with nature?", "Taoism"
"What is the 4th letter of the Greek alphabet?", "Delta"
"How many dots appear on a pair of dice?", "42"
"Who was the Ancient Greek God of the Sun?", "Apollo"
"Aureolin is a shade of what color?", "Yellow"
"How many faces does a Dodecahedron have?", "12"
"How many minutes are in a full week?", "10,080"
"December 26 is known by what name in Ireland?", "Saint Stephen's Day"
"Where would you be if you were standing on the Spanish Steps?", "Rome"
"What city is known as "The Eternal City"?", "Rome"
"In which country would you find Mount Kilimanjaro?", "Tanzania"
"True or false: Halloween originated as an ancient Irish festival.", "True"
"What is the capital of Ireland?", "Dublin"
"What is the state capital of New York?", "Albany"
"What is the smallest U.S. state by area?", "Rhode Island"
"What river flows through the Grand Canyon?", "Colorado River"
"True or false: Holland is a region in The Netherlands?", "True"
"What is the capital of Canada?", "Ottawa"
"What are the five Great Lakes?", "Superior, Michigan, Huron, Erie, and Ontario"
"What is the largest Spanish-speaking city in the world as of 2026?", "Mexico City"
"Which country has the most islands?", "Sweden (270,000)"
"In Australia, what is commonly known as a bottle-o?", "An off-license/liquor store"
"In which U.S. state is the country's busiest airport located as of 2026?", "Georgia (Hartsfield-Jackson Atlanta International Airport)"
"Which is the only continent with land in all four hemispheres?", "Africa"
"Where is Angel Falls, the world’s largest waterfall, located?", "Venezuela"
"On which continent would you find the world’s largest desert?", "Antarctica"
"How many European capitals does the Danube river flow through?", "4"
"Fill in the blank: The capital of Bulgaria is _________.", "Sofia"
"In what capital would you find The Little Mermaid statue?", "Copenhagen"
"On which continent would you find the city of Baku?", "Asia"
"How many stars are on the Chinese flag?", "5"
"How many colors are used in the South African flag?", "6"
"What colors is the flag of the United Nations?", "Blue and white"
"Which is the only sea without any coastlines?", "The Sargasso Sea"
"What is the only flag that does not have four sides?", "Nepal"
"What country features a shipwreck on its national flag?", "Bermuda"
"In what country is the Chernobyl nuclear plant located?", "Ukraine"
"What mountain range separates Europe and Asia?", "The Ural Mountains"
"How many elements are in the periodic table?", "118"
"Which planet is closest to the sun?", "Mercury"
"How many bones do we have in an ear?", "3"
"What is the chemical element with the symbol Fe?", "Iron"
"What is the smallest unit of matter?", "Atom"
"What is the process by which a liquid changes into a gas?", "Evaporation"
"Which planet has the most moons?", "Saturn"
"Where is the strongest human muscle located?", "Jaw"
"Which is the only body part that is fully grown from birth?", "Eyes"
"What is the outermost layer of the Earth’s atmosphere called?", "Exosphere"
"What is the process by which plants convert sunlight to energy?", "Photosynthesis"
"What scientific theory proposed that Earth revolves around the sun?", "Heliocentrism"
"What is the scientific theory that explains the origin of the universe?", "The Big Bang Theory"
"What is the name of the world's first artificial satellite?", "Sputnik 1"
"Who discovered that the Earth revolves around the sun?", "Nicolaus Copernicus"
"Which planet in the Milky Way is the hottest?", "Venus"
"What was the name of the crime boss who was head of the feared Chicago Outfit?", "Al Capone"
"What Renaissance artist is buried in Rome's Pantheon?", "Raphael"
"In what year did World War II end?", "1945"
"Which famous historical document begins with the words "We hold these truths to be self-evident"?", "The Declaration of Independence"
"Who was the first woman to win a Nobel Prize?", "Marie Curie"
"What was the code name for the Allied invasion of Normandy?", "Operation Overlord"
"What year was the United Nations established?", "1945"
"Who was the last Tsar of Russia?", "Nicholas II"
"Roald Amundsen was the first man to reach the South Pole, but where was he from?", "Norway"
"Who famously crossed the Alps with elephants on the way to war with the Romans?", "Hannibal"
"The Parthenon Marbles are controversially located in what museum?", "The British Museum"
"What event marked the end of the Roman Empire in the West?", "The Fall of Rome"
"Which ancient Chinese dynasty is often considered the "golden age" of Chinese civilization?", "Han Dynasty"
"What Renaissance artist painted the Sistine Chapel ceiling?", "Michelangelo"
"What was the name of the German military strategy of rapid, overwhelming attacks?", "Blitzkrieg"
"What was the primary cause of the Great Irish Famine?", "Potato blight"
"What was the name of the peace treaty that ended World War I?", "Treaty of Versailles"
"Which powerful Mongol ruler conquered a vast empire stretching from Asia to Europe?", "Genghis Khan"
"In what decade was the internet created?", "1960s"
"What was the name of the first computer virus?", "Creeper"
"What was the name of the ancient Egyptian sun god?", "Ra"
"Pink Ladies and Granny Smiths are what types of fruit?", "Apples"
"What is the main ingredient in hummus?", "Chickpeas (garbanzo beans)"
"Where did sushi originate?", "Japan"
"What meat is used in a shepherd's pie?", "Lamb"
"Which country drinks the most coffee per capita?", "Finland"
